sep mlim
2.63482 1.9484669459235489
2.64708 1.9535041395148263
2.65933 1.9546994057907225
2.67159 1.9562361767168743
2.68385 1.9547847819532864
2.6961 1.9546140296281589
2.70835 1.9513270473694444
2.72061 1.9504305976625211
2.73287 1.9428748072756066
2.74512 1.9404415866425317
2.75738 1.9301964471348496
2.76963 1.9270802172012627
2.78188 1.9259703270879314
2.79414 1.9271229052825445
2.8064 1.926183767494341
2.81865 1.9242628038366505
2.8309 1.9225552805853696
2.84316 1.9210611977404999
2.85542 1.9201647480335782
2.86767 1.9192256102453733
2.87993 1.9163228207181975
2.89218 1.916536261124607
2.90443 1.9131639027033285
2.91669 1.912096700671278
2.92895 1.911328315208202
2.9412 1.9097488562007683
2.95345 1.9114136913707658
2.96571 1.911627131777177
2.97796 1.9099622966071779
